id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
0,TOI-871 b,68.0473,3.41 Earths,10.569,2024,https://science.nasa.gov/exoplanet-catalog/toi-871-b/
1,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1642l-b/
2,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1454l-b/
3,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-0416l-b/
4,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024,https://science.nasa.gov/exoplanet-catalog/hip-39017-b/
5,TOI-1467 b,37.4418,4.02 Earths,12.293,2024,https://science.nasa.gov/exoplanet-catalog/toi-1467-b/
6,TOI-771 b,25.2788,2.61 Earths,14.888,2024,https://science.nasa.gov/exoplanet-catalog/toi-771-b/
7,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024,https://science.nasa.gov/exoplanet-catalog/ngts-30-b/
8,KOI-2513.01,1369.87,23 Jupiters,14.913,2023,https://science.nasa.gov/exoplanet-catalog/koi-2513-01/
9,TOI-2068 b,52.9328,3.97 Earths,13.007,2024,https://science.nasa.gov/exoplanet-catalog/toi-2068-b/
10,TOI-5799 b,27.8123,3.27 Earths,13.29,2024,https://science.nasa.gov/exoplanet-catalog/toi-5799-b/
11,KMT-2021-BLG-1150L b,12396,Unknown,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2021-blg-1150l-b/
12,OGLE-2017-BLG-0640L b,6630,1.62 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-0640l-b/
13,OGLE-2017-BLG-1275L b,7690,5.9 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1275l-b/
14,OGLE-2017-BLG-1237L b,6030,3.8 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1237l-b/
15,TOI-871 b,68.0473,3.41 Earths,10.569,2024,https://science.nasa.gov/exoplanet-catalog/toi-871-b/
16,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1642l-b/
17,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1454l-b/
18,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-0416l-b/
19,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024,https://science.nasa.gov/exoplanet-catalog/hip-39017-b/
20,TOI-1467 b,37.4418,4.02 Earths,12.293,2024,https://science.nasa.gov/exoplanet-catalog/toi-1467-b/
21,TOI-771 b,25.2788,2.61 Earths,14.888,2024,https://science.nasa.gov/exoplanet-catalog/toi-771-b/
22,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024,https://science.nasa.gov/exoplanet-catalog/ngts-30-b/
23,KOI-2513.01,1369.87,23 Jupiters,14.913,2023,https://science.nasa.gov/exoplanet-catalog/koi-2513-01/
24,TOI-2068 b,52.9328,3.97 Earths,13.007,2024,https://science.nasa.gov/exoplanet-catalog/toi-2068-b/
25,TOI-5799 b,27.8123,3.27 Earths,13.29,2024,https://science.nasa.gov/exoplanet-catalog/toi-5799-b/
26,KMT-2021-BLG-1150L b,12396,Unknown,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2021-blg-1150l-b/
27,OGLE-2017-BLG-0640L b,6630,1.62 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-0640l-b/
28,OGLE-2017-BLG-1275L b,7690,5.9 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1275l-b/
29,OGLE-2017-BLG-1237L b,6030,3.8 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1237l-b/
30,HD 104067 c,20.3632,13.2 Earths,7.92,2024,https://science.nasa.gov/exoplanet-catalog/hd-104067-c/
31,M62H b,Unknown,2.47 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/m62h-b/
32,Luhman 16 b,Unknown,29.4 Jupiters,Unknown,2017,https://science.nasa.gov/exoplanet-catalog/luhman-16-b/
33,TOI-4438 b,30.0346,5.4 Earths,13.69,2024,https://science.nasa.gov/exoplanet-catalog/toi-4438-b/
34,HD 77946 b,99.451,8.38 Earths,8.99,2024,https://science.nasa.gov/exoplanet-catalog/hd-77946-b/
35,OGLE-2016-BLG-1093L b,8120,0.71 Jupiters,Unknown,2022,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1093l-b/
36,NGC 2682 Sand 1429 b,852.793,1.8 Jupiters,12.704,2024,https://science.nasa.gov/exoplanet-catalog/ngc-2682-sand-1429-b/
37,CI Tauri c,157.998,3.6 Jupiters,13.642,2024,https://science.nasa.gov/exoplanet-catalog/ci-tauri-c/
38,HS Piscium b,37.6604,1.46 Jupiters,10.769,2024,https://science.nasa.gov/exoplanet-catalog/hs-piscium-b/
39,TOI-1994 b,515.603,22.1 Jupiters,10.514,2024,https://science.nasa.gov/exoplanet-catalog/toi-1994-b/
40,TOI-4515 b,193.499,2.005 Jupiters,11.938,2024,https://science.nasa.gov/exoplanet-catalog/toi-4515-b/
41,LHS 1678 d,19.8782,0.907 Earths,12.6,2024,https://science.nasa.gov/exoplanet-catalog/lhs-1678-d/
42,Teegardenâ€™s Star d,3.83078,0.82 Earths,15.13,2024,https://science.nasa.gov/exoplanet-catalog/teegardens-star-d/
43,TOI-1199 b,248.427,0.239 Jupiters,11.093,2024,https://science.nasa.gov/exoplanet-catalog/toi-1199-b/
44,TOI-1273 b,177.118,0.222 Jupiters,10.98,2024,https://science.nasa.gov/exoplanet-catalog/toi-1273-b/
45,TOI-1347 b,147.476,11.1 Earths,11.168,2024,https://science.nasa.gov/exoplanet-catalog/toi-1347-b/
46,TOI-1347 c,147.476,6.4 Earths,11.168,2024,https://science.nasa.gov/exoplanet-catalog/toi-1347-c/
47,TOI-1135 b,114.048,0.162 Jupiters,9.54,2024,https://science.nasa.gov/exoplanet-catalog/toi-1135-b/
48,TOI-904 b,46.0891,6.46 Earths,12.588,2023,https://science.nasa.gov/exoplanet-catalog/toi-904-b/
49,TOI-904 c,46.0891,5.34 Earths,12.588,2023,https://science.nasa.gov/exoplanet-catalog/toi-904-c/
50,TOI-1386 b,479,Unknown,10.61,2024,https://science.nasa.gov/exoplanet-catalog/toi-1386-b/
51,TOI-1386 c,146.858,0.309 Jupiters,10.61,2024,https://science.nasa.gov/exoplanet-catalog/toi-1386-c/
52,Kepler-139 d,391.038,4.65808 Earths,12.775,2023,https://science.nasa.gov/exoplanet-catalog/kepler-139-d/
53,Kepler-48 f,306.738,0.93944 Jupiters,13.174,2023,https://science.nasa.gov/exoplanet-catalog/kepler-48-f/
54,Kepler-100 e,304.645,24.14272 Earths,11.055,2023,https://science.nasa.gov/exoplanet-catalog/kepler-100-e/
55,Kepler-139 e,391.038,1.34071 Jupiters,12.775,2023,https://science.nasa.gov/exoplanet-catalog/kepler-139-e/
56,HD 134606 b,26.7909,9.09 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-b/
57,HD 134606 f,26.7909,5.63 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-f/
58,HD 134606 c,26.7909,11.31 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-c/
59,HD 134606 d,26.7909,0.14096 Jupiters,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-d/
60,HD 134606 e,26.7909,2.34 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-e/
61,TOI-238 b,80.5407,3.4 Earths,10.748,2024,https://science.nasa.gov/exoplanet-catalog/toi-238-b/
62,TOI-1751 b,113.335,14.5 Earths,9.327,2024,https://science.nasa.gov/exoplanet-catalog/toi-1751-b/
63,TOI-238 c,80.5407,6.7 Earths,10.748,2024,https://science.nasa.gov/exoplanet-catalog/toi-238-c/
64,Wolf 327 b,93,Unknown,13.018,2024,https://science.nasa.gov/exoplanet-catalog/wolf-327-b/
65,TOI-2266 b,51.6004,2.99 Earths,16.54,2024,https://science.nasa.gov/exoplanet-catalog/toi-2266-b/
66,KMT-2018-BLG-0885L b,6890,29 Jupiters,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2018-blg-0885l-b/
67,KMT-2019-BLG-0297L b,3090,19 Jupiters,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2019-blg-0297l-b/
68,KMT-2019-BLG-0335L b,7710,21 Jupiters,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2019-blg-0335l-b/
69,OGLE-2019-BLG-1180L b,19800,Unknown,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/ogle-2019-blg-1180l-b/
70,HD 63433 d,22.4035,1.25 Earths,6.92035,2023,https://science.nasa.gov/exoplanet-catalog/hd-63433-d/
71,KMT-2021-BLG-1770L b,6920,21 Jupiters,Unknown,2023,https://science.nasa.gov/exoplanet-catalog/kmt-2021-blg-1770l-b/
72,TOI-2416 b,557.733,3 Jupiters,13.019,2023,https://science.nasa.gov/exoplanet-catalog/toi-2416-b/
73,TOI-2524 b,438.842,0.64 Jupiters,12.8,2023,https://science.nasa.gov/exoplanet-catalog/toi-2524-b/
74,LHS 3154 b,15.7606,13.15 Earths,17.65,2023,https://science.nasa.gov/exoplanet-catalog/lhs-3154-b/
